nama_variabel,nama_wilayah,tahun,jenis_kelamin,tipe_daerah,presentase
Keluhan Kesehatan Masyarakat,Aceh,2017,laki_laki,perkotaan,22.33111464
Keluhan Kesehatan Masyarakat,Sumatera Utara,2017,laki_laki,perkotaan,22.43909198
Keluhan Kesehatan Masyarakat,Sumatera Barat,2017,laki_laki,perkotaan,28.91195897
Keluhan Kesehatan Masyarakat,Riau,2017,laki_laki,perkotaan,24.79644376
Keluhan Kesehatan Masyarakat,Jambi,2017,laki_laki,perkotaan,22.96611082
Keluhan Kesehatan Masyarakat,Sumatera Selatan,2017,laki_laki,perkotaan,30.20276816
Keluhan Kesehatan Masyarakat,Bengkulu,2017,laki_laki,perkotaan,24.41325854
Keluhan Kesehatan Masyarakat,Lampung,2017,laki_laki,perkotaan,25.42969665
Keluhan Kesehatan Masyarakat,Kepulauan Bangka Belitung,2017,laki_laki,perkotaan,28.00643871
Keluhan Kesehatan Masyarakat,Kepulauan Riau,2017,laki_laki,perkotaan,20.37665798
Keluhan Kesehatan Masyarakat,DKI Jakarta,2017,laki_laki,perkotaan,26.66158769
Keluhan Kesehatan Masyarakat,Jawa Barat,2017,laki_laki,perkotaan,27.71866889
Keluhan Kesehatan Masyarakat,Jawa Tengah,2017,laki_laki,perkotaan,31.216325
Keluhan Kesehatan Masyarakat,DI Yogyakarta,2017,laki_laki,perkotaan,29.74300181
Keluhan Kesehatan Masyarakat,Jawa Timur,2017,laki_laki,perkotaan,29.78347959
Keluhan Kesehatan Masyarakat,Banten,2017,laki_laki,perkotaan,26.08980713
Keluhan Kesehatan Masyarakat,Bali,2017,laki_laki,perkotaan,25.55815442
Keluhan Kesehatan Masyarakat,Nusa Tenggara Barat,2017,laki_laki,perkotaan,28.42529783
Keluhan Kesehatan Masyarakat,Nusa Tenggara Timur,2017,laki_laki,perkotaan,36.53727758
Keluhan Kesehatan Masyarakat,Kalimantan Barat,2017,laki_laki,perkotaan,21.89890486
Keluhan Kesehatan Masyarakat,Kalimantan Tengah,2017,laki_laki,perkotaan,26.4784143
Keluhan Kesehatan Masyarakat,Kalimantan Selatan,2017,laki_laki,perkotaan,33.85820822
Keluhan Kesehatan Masyarakat,Kalimantan Timur,2017,laki_laki,perkotaan,24.45912195
Keluhan Kesehatan Masyarakat,Kalimantan Utara,2017,laki_laki,perkotaan,25.98004508
Keluhan Kesehatan Masyarakat,Sulawesi Utara,2017,laki_laki,perkotaan,23.19580708
Keluhan Kesehatan Masyarakat,Sulawesi Tengah,2017,laki_laki,perkotaan,26.42460129
Keluhan Kesehatan Masyarakat,Sulawesi Selatan,2017,laki_laki,perkotaan,23.84070041
Keluhan Kesehatan Masyarakat,Sulawesi Tenggara,2017,laki_laki,perkotaan,24.64383182
Keluhan Kesehatan Masyarakat,Gorontalo,2017,laki_laki,perkotaan,33.91074856
Keluhan Kesehatan Masyarakat,Sulawesi Barat,2017,laki_laki,perkotaan,24.75052149
Keluhan Kesehatan Masyarakat,Maluku,2017,laki_laki,perkotaan,18.73100683
Keluhan Kesehatan Masyarakat,Maluku Utara,2017,laki_laki,perkotaan,13.07556887
